STATE,D,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,,
Texas,S,(I),"Cornyn, John",,R,781259,2861531,,
Texas,S,,"Stockman, Steve",,R,251577,,,
Texas,S,,"Stovall, Dwayne",,R,140794,,,
Texas,S,,"Vega, Linda",,R,50057,,,
Texas,S,,"Cope, Ken",,R,34409,,,
Texas,S,,"Mapp, Chris",,R,23535,,,
Texas,S,,"Reasor, Reid",,R,20600,,,
Texas,S,,"Cleaver, Curt",,R,12325,,,
Texas,S,,,Party Votes:,R,1314556,,,
Texas,S,,"Alameel, David M.",,D,239914,1597387,,
Texas,S,,"Rogers, Kesha",,D,110146,,,
Texas,S,,"Scherr, Maxey Marie",,D,90359,,,
Texas,S,,"Kim, Harry",,D,45207,,,
Texas,S,,"Fjetland, Michael ""Fjet""",,D,24383,,,
Texas,S,,,Party Votes:,D,510009,,,
Texas,S,,"Paddock, Rebecca",,LIB,*,133751,,
Texas,S,,"Parachuri, Tanuja",,LIB,,,,
Texas,S,,"Roland, Jon",,LIB,,,,
Texas,S,,"Sanchez, Emily ""Spicybrown""",,GRE,*,54701,,
Texas,S,,"Tahiro, Mohammed",,W,,988,,
Texas,S,,,Total State Votes:,,1824565,4648358,,
,,,,,,,,,
Virginia,S,(I),"Warner, Mark R.",,D,Unopposed,1073667,,
Virginia,S,,"Gillespie, Ed W.",,R,"1,616**",1055940,,
Virginia,S,,"Hill, Shak",,R,"1,040*",,,
Virginia,S,,"DeTora, Tony",,R,20*,,,
